Название,Состав,Цена,Ссылка на товар
БИФ БУРГЕР,"Булочка, соус барбекю, салат айсберг, котлета говяжья, огурец и жареный лук","6,90 BYN",https://sushidom.by/product/bif-burger/
БУРГЕР ЧИКЕН ЧИЗ,"Булочка, соус сырный, салат айсберг, наггетсы, помидор и жареный лук","4,90 BYN",https://sushidom.by/product/burger-chiken-chiz/
Ролл АКА,"Тар-тар из лосося, груши и спайси соуса, воздушные рисовые шарики, сливочный сыр, огурец","9,00 BYN",https://sushidom.by/product/roll-aka/
Ролл БОШИ,"Копчённый кальмар, дайкон, сливочный сыр, укроп, фирменная сырная шапочка","6,00 BYN",https://sushidom.by/product/roll-boshi/
Ролл ХОТТО,"Снежный краб, персик, кляр темпура, воздушная сырная шапочка, соус чили.","7,00 BYN",https://sushidom.by/product/roll-hotto/
Ролл ШИРО,"Тунец темпура, сыр, салат, шапочка криль, кунжут","8,00 BYN",https://sushidom.by/product/roll-shiro/
Сет BOOM,"ХОТТО ролл — Снежный краб, персик, кляр темпура, воздушная сырная шапочка, соус чили
ШИРО ролл — Тунец темпура, сыр, салат, шапочка криль, кунжут
АКА ролл — Сливочный сыр, огурец, тар-тар из лосося, груши и спайси соуса, воздушные рисовые шарики
БОШИ ролл — Копчённый кальмар, дайкон, сливочный сыр, укроп, фирменная сырная шапочка",Всё зависит от количества,https://sushidom.by/product/set-boom/
АССОРТИ ЯКИТОРИ,"Состав: Куринные сердечки, куриное филе, мидии, креветки, грибы шиитаке, соус якитори, имбирь, дайкон","14,90 BYN",https://sushidom.by/product/assorti-jakitori/
БОН-АКВА в ассортименте,Нет состава,"2,00 BYN",https://sushidom.by/product/bon-akva-v-assortimente/
ВАСАБИ ЛАЙТ,Нет состава,"0,90 BYN",https://sushidom.by/product/vasabi-lajt/
ВАССАБИ,Нет состава,"0,90 BYN",https://sushidom.by/product/vassabi/
ГЁДЗЕ ТРАДИЦИОННЫЕ,"Состав: фирменное тесто для гёдзе, фарш курино-свиной, пекинская капуста, имбирь, соус для гёдзе, лук порей","6,00 BYN",https://sushidom.by/product/gjodze-tradicionnye/
