Название,Состав,Цена,Ссылка на товар
АССОРТИ ЯКИТОРИ,"Состав: Куринные сердечки, куриное филе, мидии, креветки, грибы шиитаке, соус якитори, имбирь, дайкон","14,90 BYN",https://sushidom.by/product/assorti-jakitori/
ГЁДЗЕ ТРАДИЦИОННЫЕ,"Состав: фирменное тесто для гёдзе, фарш курино-свиной, пекинская капуста, имбирь, соус для гёдзе, лук порей","6,00 BYN",https://sushidom.by/product/gjodze-tradicionnye/
ЗАПЕЧЕННЫЕ МИДИИ С БЕКОНОМ,"Состав: Мидии в раковинах, бекон, сливочно-винный соус, сыр пармезан, лимон","14,90 BYN",https://sushidom.by/product/zapechennye-midii-s-bekonom/
ЗАПЕЧЕННЫЕ МИДИИ СПАЙСИ,"Состав: Мидии в раковинах, соус спайси, лимон","14,90 BYN",https://sushidom.by/product/zapechennye-midii-spajsi/
КАЛЬМАР ЖАРЕНЫЙ в темпуре,"Состав: Кальмар, мука темпура, панировочные сухари, соус чесночный","7,00 BYN",https://sushidom.by/product/kalmar-zharenyj-v-tempure/
КАРТОФЕЛЬ ФРИ,"Состав: картофель, огурец","3,00 BYN",https://sushidom.by/product/kartofel-fri/
КАРТОФЕЛЬНЫЕ ДОЛЬКИ,"Состав: картофельные дольки, томаты черри","3,00 BYN",https://sushidom.by/product/kartofelnye-dolki/
МИДИИ В СЛИВОЧНО-ЧЕСНОЧНОМ соусе,"Состав: мидии в ракушках, сливочно-чесночный соус, крутоны","14,50 BYN",https://sushidom.by/product/midii-v-slivochno-chesnochnom-souse/
РЕБРО В РЕБРО,"Состав: свиные рёбрышки, соус Якитори, картофельные дольки, томаты черри","14,00 BYN",https://sushidom.by/product/rebro-v-rebro/
СТЕЙК ИЗ ЛОСОСЯ С СОУСОМ ТАРТАР,"Состав: лосось, рис с овощами, креветки, томаты черри, лимон, соус тартар","24,00 BYN",https://sushidom.by/product/stejk-iz-lososja-s-sousom-tartar/
ТИГРОВЫЕ КРЕВЕТКИ В ТЕМПУРЕ,"Состав: Тигровые креветки, мука темпура, панировочные сухари, лимон, соус, чили сладкий","18,00 BYN",https://sushidom.by/product/tigrovye-krevetki-v-tempure/
ТУНЕЦ НЕЯМА,"Состав: тунец, кунжут, кунжутный соус, лист салата, перец болгарский, томаты черри, лимон","19,00 BYN",https://sushidom.by/product/tunec-nejama/
