Название,Состав,Цена,Ссылка на товар
Ролл АКА,"Тар-тар из лосося, груши и спайси соуса, воздушные рисовые шарики, сливочный сыр, огурец","9,00 BYN",https://sushidom.by/product/roll-aka/
Ролл ШИРО,"Тунец темпура, сыр, салат, шапочка криль, кунжут","8,00 BYN",https://sushidom.by/product/roll-shiro/
Ролл ФИЛАДЕЛЬФИЯ,"Нори, рис, сливочный сыр, огурец, сёмга","12,90 BYN",https://sushidom.by/product/roll-filadelfija/
Ролл ФИЛАДЕЛЬФИЯ классика,"Нори, рис, сливочный сыр, свежий лосось + лимон","13,90 BYN",https://sushidom.by/product/roll-filadelfija-klassika/
Ролл ФИЛАДЕЛЬФИЯ с креветкой,"Нори, рис, сливочный сыр, креветки, свежий лосось + лимон","15,90 BYN",https://sushidom.by/product/roll-filadelfija-s-krevetkoj/
Ролл ФИЛАДЕЛЬФИЯ с икрой,"Нори, рис, сливочный сыр, огурец, свежий лосось, икра лосося + лимон","19,90 BYN",https://sushidom.by/product/roll-filadelfija-s-ikroj/
Ролл ФИЛАДЕЛЬФИЯ люкс,"Нори, рис, сливочный сыр, огурец, лосось, красная икра тобико","14,30 BYN",https://sushidom.by/product/roll-filadelfija-ljuks/
Ролл ГУРМЕ МАКИ,"Нори, рис, сливочный сыр, лосось, лист салата, тобико","9,90 BYN",https://sushidom.by/product/roll-gurme-maki/
Ролл СЯКЕ МАКИ,"Нори, рис, лосось, огурец","6,70 BYN",https://sushidom.by/product/roll-sjake-maki/
Ролл ШЕФ,"Нори, рис, лосось-терияки, огурец, кунжут, плавленый сыр","10,90 BYN",https://sushidom.by/product/roll-shef/
Ролл ЯКУДЗА,"Нори, рис, сливочный сыр, икра тобико, лосось-терияки, огурец и соус чили","12,90 BYN",https://sushidom.by/product/roll-jakudza/
Ролл АВОКАДО С СЫРОМ,"Нори, рис, сливочный сыр, авокадо","4,10 BYN",https://sushidom.by/product/roll-avokado-s-syrom/
Ролл КАППА МАКИ,"Нори, рис, огурец, кунжут","3,40 BYN",https://sushidom.by/product/roll-kappa-maki/
Ролл КРЕМ,"нори, рис, сливочный сыр, манго, крем-криль","8,10 BYN",https://sushidom.by/product/roll-krem/
Ролл ЧУКА МАКИ,"Нори, рис, салат чука, сливочный сыр","3,80 BYN",https://sushidom.by/product/roll-chuka-maki/
Ролл ЭБИ МАКИ,"Нори, рис, креветки","6,90 BYN",https://sushidom.by/product/roll-jebi-maki/
Ролл ИКУРА МАКИ,"Нори, рис, сливочный сыр, креветки, икра лосося","14,00 BYN",https://sushidom.by/product/roll-ikura-maki/
Ролл РИО,"Нори, рис, сливочный сыр, чукка, тунец","7,50 BYN",https://sushidom.by/product/roll-rio/
Ролл ТЭКА МАКИ,"Нори, рис, тунец","5,90 BYN",https://sushidom.by/product/roll-tjeka-maki/
Ролл УНАГИ МАКИ,"Нори, рис, угорь, огурец, кунжут","6,90 BYN",https://sushidom.by/product/roll-unagi-maki/
Ролл АКИТО,"Нори, рис, сливочный сыр, угорь, маринованный дайкон","10,50 BYN",https://sushidom.by/product/roll-akito/
Ролл ГРИН,"Нори, рис, сёмга, авокадо, перец болгарский, сливочный сыр, укроп","9,60 BYN",https://sushidom.by/product/roll-grin/
Ролл МОДНЫЙ,"Нори, рис, плавленый сыр, лосось, огурец","13,90 BYN",https://sushidom.by/product/roll-modnyj/
Ролл ЧУКА,"Нори, рис, сливочный сыр, салат чука. лосось, стружка тунца","11,90 BYN",https://sushidom.by/product/roll-chuka/
Ролл ЭКСКЛЮЗИВ,"Нори, рис, креветки, сливочный сыр, манго, креветки, стружка тунца","10,20 BYN",https://sushidom.by/product/roll-jekskljuziv/
Ролл КАЛИФОРНИЯ,"Нори, рис, креветки, авокадо, сливочный сыр, икра тобико","13,70 BYN",https://sushidom.by/product/roll-kalifornija/
Ролл ДРАКОН,"Нори, рис, сливочный сыр, авокадо, креветки, угорь, кунжут черный","12,60 BYN",https://sushidom.by/product/roll-drakon/
Ролл БОНИТО,"Нори, рис, сливочный сыр, угорь, авокадо, стружка тунца","11,90 BYN",https://sushidom.by/product/roll-bonito/
Ролл КРИЛЬ,"нори, рис, сливочный сыр, угорь, огурец, крем-криль, кунжут","9,90 BYN",https://sushidom.by/product/roll-kril/
Ролл БАНЗАЙ,"Нори, рис, сливочный сыр, авокадо, тунец, кунжут черный и белый","8,70 BYN",https://sushidom.by/product/roll-banzaj/
Ролл ЦУНАМИ,"Нори, рис, сливочный сыр, авокадо, тунец, стружка тунца","11,60 BYN",https://sushidom.by/product/roll-cunami/
Ролл ЦАРСКИЙ,"Нори, рис, сливочный сыр, авокадо, икра лосося, стружка тунца","14,90 BYN",https://sushidom.by/product/roll-carskij/
Ролл САКУРА,"Нори, рис, сливочный сыр, лист салата, курица копченая, манго, тобико","11,00 BYN",https://sushidom.by/product/roll-sakura/
Ролл ЧИКЕН,"Нори, рис, сливочный сыр, курица, перец, огурец, белый кунжут","6,90 BYN",https://sushidom.by/product/roll-chiken/
Ролл ХУРА,"Нори, рис, сливочный сыр, огурец. маринованный дайкон, перец, лист салата, кунжут","6,60 BYN",https://sushidom.by/product/roll-hura/
Ролл ВЕГАН,"Нори, рис, сливочный сыр, дайкон, перец, авокадо, укроп","7,70 BYN",https://sushidom.by/product/roll-vegan/
Ролл БОСТОН,"Нори, рис, креветки, огурец, сливочный сыр, кунжут","7,80 BYN",https://sushidom.by/product/roll-boston/
Нигири С СЁМГОЙ,"Рис, свежий лосось + лимон","10,80 BYN",https://sushidom.by/product/nigiri-s-sjomgoj/
