Название,Состав,Цена,Ссылка на товар
Пицца СОЧНЫЙ ГРИЛЬ,"Состав: бекон, сервелат, куриный рулет, ветчина, перец, томаты, моцарелла, соус гриль",Всё зависит от количества,https://sushidom.by/product/picca-sochnyj-gril/
Пицца ПЕППЕРОНИ,"Состав: томатный соус, моцарелла, голландский сыр, орегано, колбаски-пепперони, острые перчики, сметана.",Всё зависит от количества,https://sushidom.by/product/picca-pepperoni/
Пицца ФИЛИППИНСКАЯ,"Состав: соус сырный, сыр моцарелла, томаты, свинина по-американски (горячего копчения), ананас, куриный рулет, бекон, орегано",Всё зависит от количества,https://sushidom.by/product/picca-filippinskaja/
Пицца ТЕХАССКАЯ,"Состав: соус карбонара, свинина по-американски(горячего копчения), бекон, сыр моцарелла, колбаски пепперони, орегано",Всё зависит от количества,https://sushidom.by/product/picca-tehasskaja/
Пицца ИМПЕРАТОРСКАЯ,"Состав: томатный соус, смесь сыров, томаты, руккола, сыр рикотта, соус барбекю, пепперони, орегано.",Всё зависит от количества,https://sushidom.by/product/picca-imperatorskaja/
Пицца ОЛИВЬЕ,"Состав: томатный соус, моцарелла, голландский сыр, копченая курица, соус тартар, орегано.",Всё зависит от количества,https://sushidom.by/product/picca-olive/
Пицца ИТАЛЬЯНСКАЯ,"Состав: соус барбекю, смесь сыров, пепперони, шампиньоны, бекон, оливки, орегано",Всё зависит от количества,https://sushidom.by/product/picca-italjanskaja/
Пицца ДОМАШНЯЯ,"Состав: соус томатный, смесь сыров, бекон, лук маринованный, томаты, ветчина, огурцы маринованные, орегано",Всё зависит от количества,https://sushidom.by/product/picca-domashnjaja/
Пицца ФИЛАДЕЛЬФИЯ,"Состав: соус тартар, смесь сыров, лосось, сыр Филадельфия, лимон, орегано.",Всё зависит от количества,https://sushidom.by/product/picca-filadelfija/
Пицца С ГРУШЕЙ И ДОР БЛЮ,"Состав: моцарелла, голландский сыр, орегано, сыр дор блю, груша, грецкий орех",Всё зависит от количества,https://sushidom.by/product/picca-s-grushej-i-dor-blju/
Пицца МЕКСИКАНСКАЯ,"Состав: томатный соус, моцарелла, голландский сыр, орегано, томаты, лук, болгарский перец, салями, халапеньо, перец чили",Всё зависит от количества,https://sushidom.by/product/picca-meksikanskaja/
Пицца МНОГО МЯСА,"Состав: томатный соус, моцарелла, голландский сыр, орегано, шампиньоны, лук, болгарский перец, маслины, пепперони, ветчина, свинина",Всё зависит от количества,https://sushidom.by/product/picca-mnogo-mjasa/
