Название,Состав,Цена,Ссылка на товар
Сет BOOM,"ХОТТО ролл — Снежный краб, персик, кляр темпура, воздушная сырная шапочка, соус чили
ШИРО ролл — Тунец темпура, сыр, салат, шапочка криль, кунжут
АКА ролл — Сливочный сыр, огурец, тар-тар из лосося, груши и спайси соуса, воздушные рисовые шарики
БОШИ ролл — Копчённый кальмар, дайкон, сливочный сыр, укроп, фирменная сырная шапочка",Всё зависит от количества,https://sushidom.by/product/set-boom/
Сет №1,"Состав: (по 4 шт) Гурме Маки, Чука маки, Криль ролл, Царский ролл","21,00 BYN",https://sushidom.by/product/set-1/
Сет №2,"Состав: (по 4 шт) Грин ролл, Чикен ролл, Филадельфия, Филадельфия люкс","22,00 BYN",https://sushidom.by/product/set-2/
Сет №3,"Состав: (по 4 шт) Гурме Маки, Сяке Маки, Шеф ролл, Якудза ролл","20,00 BYN",https://sushidom.by/product/set-3/
Сет №4,"Состав: (по 4 шт) Запечённый «Динамит», Запеченный «Гриль», Запеченный ролл «Шанхай», Запеченный ролл «Медея»","15,00 BYN",https://sushidom.by/product/set-4/
Сет №5,"Состав: (по 4 шт) Темпура «Мидия», Темпура «Эби», Темпура  «Сяке», Темпура «Чикен»","17,00 BYN",https://sushidom.by/product/set-5/
Сет №6,"Состав: (по 4 шт) Акито Маки, Гурме Маки, Калифорния ролл, Филадельфия","23,00 BYN",https://sushidom.by/product/set-6/
Сет АССОРТИ МАКИ,"Состав: (по 4 шт) Каппа Маки, Авокадо Маки, Сяке Маки, Тэка Маки, Эби Маки, Унаги Маки","16,00 BYN",https://sushidom.by/product/set-assorti-maki/
Сет ГРАНД АССОРТИ,"Состав: (по 4 шт) Калифорния ролл, Филадельфия люкс, Грин ролл, Дракон, Веган ролл, Эксклюзив, Чикен ролл","37,00 BYN",https://sushidom.by/product/set-grand-assorti/
Сет ГУНКАНЫ,"Состав: Гункан с икрой, Гункан с лососем, Гункан с чёрной икрой тобико, Гункан с чуккой, Гункан спайси сяке, Гункан спайси эби и спайси унаги","16,00 BYN",https://sushidom.by/product/set-gunkany/
Сет ЗАПЕЧЁННОЕ спайси ассорти,"Состав: Запечённое “спайси гуру”, Запечённое “спайси канада” ролл","28,00 BYN",https://sushidom.by/product/set-zapechjonye-spajsi-assorti/
Сет ОРИГАМИ,"Состав: (по 4 шт) Филадельфия, Царский ролл, Бонито, Гурме Маки, Крем ролл, ролл Тако","37,00 BYN",https://sushidom.by/product/set-origami/
